date,change,changeOverTime,changePercent,close,high,label,low,open,uClose,uHigh,uLow,uOpen,uVolume,volume
2019-01-25,0.0,0.0,0.0,32.9,33.62,"Jan 25, 19",31.98,31.99,32.9,33.62,31.98,31.99,22522440,22522440
2019-01-28,0.23,0.006991,0.6991,33.13,33.2,"Jan 28, 19",32.12,32.65,33.13,33.2,32.12,32.65,21750772,21750772
2019-01-29,-1.49,-0.038298,-4.4974,31.64,33.55,"Jan 29, 19",31.46,33.33,31.64,33.55,31.46,33.33,18849804,18849804
2019-01-30,0.62,-0.019453,1.9595,32.26,32.38,"Jan 30, 19",31.42,32.04,32.26,32.38,31.42,32.04,17142508,17142508
2019-01-31,1.3,0.020061,4.0298,33.56,33.69,"Jan 31, 19",32.79,33.07,33.56,33.69,32.79,33.07,21211309,21211309
2019-02-01,-0.37,0.008815,-1.1025,33.19,34.09,"Feb 1, 19",32.96,33.56,33.19,34.09,32.96,33.56,18816582,18816582
2019-02-04,0.75,0.031611,2.2597,33.94,34.18,"Feb 4, 19",33.24,33.34,33.94,34.18,33.24,33.34,14244111,14244111
2019-02-05,0.43,0.044681,1.2669,34.37,34.57,"Feb 5, 19",33.92,34.29,34.37,34.57,33.92,34.29,17610232,17610232
2019-02-06,-0.21,0.038298,-0.611,34.16,35.25,"Feb 6, 19",33.75,35.05,34.16,35.25,33.75,35.05,34058034,34058034
2019-02-07,-3.36,-0.06383,-9.8361,30.8,31.73,"Feb 7, 19",30.31,31.17,30.8,31.73,30.31,31.17,69764059,69764059
2019-02-08,-0.79,-0.087842,-2.5649,30.01,30.74,"Feb 8, 19",29.42,30.47,30.01,30.74,29.42,30.47,40669782,40669782
2019-02-11,0.22,-0.081155,0.7331,30.23,30.44,"Feb 11, 19",29.65,30.17,30.23,30.44,29.65,30.17,28838151,28838151
2019-02-12,0.16,-0.076292,0.5293,30.39,30.8,"Feb 12, 19",30.23,30.44,30.39,30.8,30.23,30.44,20315266,20315266
2019-02-13,0.73,-0.054103,2.4021,31.12,31.84,"Feb 13, 19",30.55,30.57,31.12,31.84,30.55,30.57,29683308,29683308
2019-02-14,-0.16,-0.058967,-0.5141,30.96,31.28,"Feb 14, 19",30.6,30.86,30.96,31.28,30.6,30.86,15321099,15321099
2019-02-15,0.27,-0.05076,0.8721,31.23,31.8,"Feb 15, 19",30.97,31.2,31.23,31.8,30.97,31.2,17591516,17591516
2019-02-19,0.42,-0.037994,1.3449,31.65,32.11,"Feb 19, 19",31.15,31.23,31.65,32.11,31.15,31.23,14391680,14391680
2019-02-20,-0.28,-0.046505,-0.8847,31.37,31.93,"Feb 20, 19",31.21,31.71,31.37,31.93,31.21,31.71,16871139,16871139
2019-02-21,-0.61,-0.065046,-1.9445,30.76,31.48,"Feb 21, 19",30.6,31.36,30.76,31.48,30.6,31.36,13944892,13944892
2019-02-22,0.95,-0.03617,3.0884,31.71,31.73,"Feb 22, 19",30.81,30.81,31.71,31.73,30.81,30.81,15413439,15413439
2019-02-25,0.28,-0.02766,0.883,31.99,32.71,"Feb 25, 19",31.88,31.99,31.99,32.71,31.88,31.99,15061331,15061331
2019-02-26,-0.98,-0.057447,-3.0635,31.01,31.96,"Feb 26, 19",30.99,31.89,31.01,31.96,30.99,31.89,17519063,17519063
2019-02-27,-0.6,-0.075684,-1.9349,30.41,31.0,"Feb 27, 19",29.9,30.95,30.41,31.0,29.9,30.95,24639117,24639117
2019-02-28,0.37,-0.064438,1.2167,30.78,30.79,"Feb 28, 19",30.01,30.25,30.78,30.79,30.01,30.25,15242855,15242855
2019-03-01,-0.16,-0.069301,-0.5198,30.62,31.19,"Mar 1, 19",30.28,31.17,30.62,31.19,30.28,31.17,12360706,12360706
2019-03-04,-0.12,-0.072948,-0.3919,30.5,31.26,"Mar 4, 19",30.06,30.78,30.5,31.26,30.06,30.78,15920363,15920363
2019-03-05,0.53,-0.056839,1.7377,31.03,31.23,"Mar 5, 19",30.39,30.5,31.03,31.23,30.39,30.5,13073531,13073531
2019-03-06,-0.23,-0.06383,-0.7412,30.8,31.33,"Mar 6, 19",30.58,30.94,30.8,31.33,30.58,30.94,10938592,10938592
2019-03-07,-0.68,-0.084498,-2.2078,30.12,30.84,"Mar 7, 19",30.01,30.76,30.12,30.84,30.01,30.76,15779860,15779860
2019-03-08,-0.08,-0.08693,-0.2656,30.04,30.21,"Mar 8, 19",29.41,29.64,30.04,30.21,29.41,29.64,11964309,11964309
2019-03-11,0.83,-0.061702,2.763,30.87,30.91,"Mar 11, 19",30.24,30.24,30.87,30.91,30.24,30.24,16013214,16013214
2019-03-12,0.29,-0.052888,0.9394,31.16,31.41,"Mar 12, 19",30.88,31.15,31.16,31.41,30.88,31.15,12324334,12324334
2019-03-13,0.14,-0.048632,0.4493,31.3,31.48,"Mar 13, 19",31.04,31.31,31.3,31.48,31.04,31.31,10201337,10201337
2019-03-14,-0.27,-0.056839,-0.8626,31.03,31.55,"Mar 14, 19",30.94,31.28,31.03,31.55,30.94,31.28,12090588,12090588
